Site,season,N,shannon.di,simpson.di,inv.simpson.di,City,Long,Lat
MT,AP21,11,0.8855741515766717,0.44628099173553715,1.8059701492537312,oaca,-122.1403056978608,37.7922600644958
G-CLP3,OC20,175,0.8704120584327868,0.44924081632653057,1.8156755795340012,tawa,-122.51054008250264,47.24624781414887
G-FP1,AP21,333,0.8657059011210512,0.4312600889177466,1.7582729478174006,tawa,-122.48001311823172,47.24660376310076
OAK,JU21,13,0.8587409130062869,0.5207100591715976,2.0864197530864197,lbca,-117.80007884799603,33.81065672706404
G-SB,OC20,102,0.8571597573822324,0.416955017301038,1.71513353115727,tawa,-122.52996962188313,47.298191196125245
H01-SPS1,JA21,28,0.8562779956715776,0.5229591836734695,2.096256684491979,paca,-118.16734266948976,34.124358734572354
H01-OCC1,AP21,18,0.8486855577264172,0.49382716049382713,1.975609756097561,paca,-118.23502371495428,34.201521140726356
G-SB,JA21,97,0.8482367640527333,0.4648740567541716,1.8687189672293945,tawa,-122.52996962188313,47.298191196125245
P-OV2,JA21,47,0.833564352784389,0.42100497962879135,1.727130570758405,tawa,-122.34327690455926,46.87009737411258
P-DPV,JA21,89,0.8268209541559484,0.4097967428355006,1.694331550802139,tawa,-122.5436402745423,47.3165085016772
G-VP,JU21,143,0.8248702882342751,0.46134285295124466,1.8564684521107584,tawa,-122.5200102255112,47.27992829292994
G-TNC2,AP21,301,0.8228964860907754,0.5123563757574421,2.0506778932120144,tawa,-122.49030793253216,47.240324138072616
H01-HFR1,OC20,70,0.8193095837606222,0.4024489795918368,1.673497267759563,paca,-118.28028507983583,34.22324078580839
HT,JA21,121,0.7918723602730717,0.45556997472850214,1.836783339606072,oaca,-122.12520031814924,37.775504171738376
H01-BEA2,OC20,31,0.7902195307190024,0.4703433922996879,1.8880157170923382,paca,-118.23860893352784,34.18840910560693
G-SERA,JA21,207,0.7899592616016691,0.3998226329669303,1.666174126064471,tawa,-122.49118989961514,47.20279106036013
P-MKP3,JA21,102,0.7794782832874358,0.44386774317570155,1.7981334255098511,tawa,-122.4237000776792,47.2352303289375
WP,AP21,27,0.7787318647728357,0.4142661179698218,1.7072599531615928,oaca,-122.14016165799896,37.753773534843326
P-UWT,AP21,73,0.7524302216310509,0.37005066616626003,1.5874292523086087,tawa,-122.440170358001,47.2428796550409
P-OB,JA21,79,0.7509269903993596,0.44864605031244986,1.8137169427492006,tawa,-122.5304601657384,47.31318888282613
H01-OXY1,JA21,275,0.7471772868039208,0.3829685950413224,1.6206630520969507,paca,-118.20939813219788,34.126927657671985
PWETZ02,AP21,57,0.7409982862721657,0.3582640812557709,1.5582733812949638,lbca,-117.77695209834594,33.788527901882254
H01-TMC1,OC20,112,0.716768546895195,0.46572066326530615,1.8716800954938826,paca,-118.18140606023437,34.17571692711669
AB,OC20,100,0.7103072395817716,0.4786,1.9179133103183736,oaca,-122.23759206133576,37.79586579832616
HT,OC20,19,0.708018976056273,0.40997229916897515,1.694835680751174,oaca,-122.12520031814924,37.775504171738376
H01-HNP1,JU21,34,0.7014101386050828,0.430795847750865,1.7568389057750757,paca,-118.17428217013232,34.19328012284418
OAK,AP21,33,0.7000399175840192,0.31955922865013764,1.4696356275303641,lbca,-117.80007884799603,33.81065672706404
G-VP,OC20,85,0.6935285632522876,0.2956401384083045,1.4197288268815091,tawa,-122.5200102255112,47.27992829292994
H01-SPS1,AP21,8,0.6931471805599453,0.5,2,paca,-118.16734266948976,34.124358734572354
IRC03,JU21,2,0.6931471805599453,0.5,2,lbca,-117.70310242313036,33.76085865201455
IRC06,JU21,15,0.6730116670092565,0.48,1.923076923076923,lbca,-117.65291929031022,33.73468139211798
IRC07,AP21,17,0.6598720137848267,0.31141868512110726,1.4522613065326633,lbca,-117.6474829372618,33.719440685685356
G-FP1,JA21,591,0.6579580814421109,0.28818630271901424,1.404861979784654,tawa,-122.48001311823172,47.24660376310076
PWETZ01,AP21,33,0.6451964504030799,0.3801652892561984,1.6133333333333335,lbca,-117.783433805852,33.793357122951015
GT,AP21,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,oaca,-122.11884806430687,37.75976297425415
GT,JA21,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,oaca,-122.11884806430687,37.75976297425415
GT,JU21,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,oaca,-122.11884806430687,37.75976297425415
IRC05,AP21,3,0.6365141682948128,0.4444444444444444,1.7999999999999998,lbca,-117.66801033275596,33.745793332380615
HT,AP21,100,0.6304910995390063,0.3098000000000001,1.4488554042306578,oaca,-122.12520031814924,37.775504171738376
G-JP,JA21,482,0.6274197212751341,0.27749177872281805,1.3840672957773328,tawa,-122.48980021466647,47.25733785038378
H01-HNP1,JA21,59,0.6194392177632948,0.33955759839126687,1.514136581122227,paca,-118.17428217013232,34.19328012284418
CB,AP21,10,0.6108643020548935,0.42000000000000004,1.7241379310344829,oaca,-122.18035727643792,37.803142529093726
H01-WAV1,JA21,25,0.6004829082458254,0.3327999999999999,1.4988009592326137,paca,-118.31108646234128,34.24302479928483
