Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca,J
H01-OCC1,AP21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,2,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0.9873417721518988,19.576174112256588,5.931878481012658,626.4569997741754,99417.70886075948,-0.6060578830975003,30
H01-OCC1,JA21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0,11,0.9873417721518988,19.576174112256588,5.931878481012658,626.4569997741754,99417.70886075948,-0.6060578830975003,51
H01-OCC1,JU21,paca,-118.23502371495428,34.201521140726356,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9873417721518988,19.576174112256588,5.931878481012658,626.4569997741754,99417.70886075948,-0.6060578830975003,30
H01-OXY1,AP21,paca,-118.20939813219788,34.126927657671985,0,0,0,13,0,0,0,1,0,0,0,13,0,0,8,1,0,0,1,0,0,0,0,11,0.9458762886597938,22.518646012621915,5.275,219.10074050311647,90455.59278350516,-0.4127994556124806,16
H01-OXY1,JA21,paca,-118.20939813219788,34.126927657671985,1,0,0,0,1,0,0,1,0,0,0,43,0,0,17,211,0,0,1,0,0,0,0,11,0.9458762886597938,22.518646012621915,5.275,219.10074050311647,90455.59278350516,-0.4127994556124806,45
H01-OXY1,JU21,paca,-118.20939813219788,34.126927657671985,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,11,0.9458762886597938,22.518646012621915,5.275,219.10074050311647,90455.59278350516,-0.4127994556124806,30
H01-RHR1,JA21,paca,-118.15865713228422,34.21804765416623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3.228784403669725,5.233038363171355,108.00268113546782,107729.91815856776,1.429299100467344,20
H01-RHR1,JU21,paca,-118.15865713228422,34.21804765416623,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3.228784403669725,5.233038363171355,108.00268113546782,107729.91815856776,1.429299100467344,30
H01-SPS1,AP21,paca,-118.16734266948976,34.124358734572354,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8835443037974684,21.45995423340961,5.7174750830564784,434.1582661118228,119823.51898734175,-0.6851888673355667,30
H01-SPS1,JA21,paca,-118.16734266948976,34.124358734572354,0,0,0,0,17,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0.8835443037974684,21.45995423340961,5.7174750830564784,434.1582661118228,119823.51898734175,-0.6851888673355667,31
