Species,locationID,city,season,count,Site,utmEast,utmNorth,utmZone,long,lat
Domestic dog,2336,tawa,OC20,2,P-WBC,553029.125,5224204.5,10,-122.30026973533971,47.16920045659492
Domestic dog,2338,tawa,AP21,14,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Domestic dog,2338,tawa,JA21,24,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Domestic dog,2338,tawa,JU21,12,P-BLP,554358.4375,5223381,10,-122.28283031300815,47.16168229763593
Domestic dog,2346,tawa,AP21,11,G-SB,535535,5238409,10,-122.52996962188311,47.298191196125245
Domestic dog,2346,tawa,JA21,17,G-SB,535535,5238409,10,-122.52996962188311,47.298191196125245
Domestic dog,2346,tawa,OC20,16,G-SB,535535,5238409,10,-122.52996962188311,47.298191196125245
Domestic dog,2347,tawa,AP21,249,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Domestic dog,2347,tawa,JA21,65,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Domestic dog,2347,tawa,JU21,99,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Domestic dog,2347,tawa,OC20,71,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
Domestic dog,2349,tawa,AP21,64,G-JP,538601.5625,5233888,10,-122.48980021466649,47.25733785038378
Domestic dog,2349,tawa,JA21,44,G-JP,538601.5625,5233888,10,-122.48980021466649,47.25733785038378
Domestic dog,2362,tawa,JU21,1,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Domestic dog,2362,tawa,OC20,1,G-WLP2,540043.0625,5225041.5,10,-122.47154011345283,47.177650308061786
Domestic dog,2364,tawa,AP21,49,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
Domestic dog,2364,tawa,JA21,6,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
Domestic dog,2364,tawa,JU21,21,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
